#{"t_start": 1787330953.0356958, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-100.0,100,152.413539
-100.0,100,153.013717
-100.0,100,153.634029
-100.0,100,154.233597
-100.0,100,154.86925
-100.0,100,155.473998
-100.0,100,156.089622
-100.0,100,156.712106
-100.0,100,157.376028
-100.0,100,157.99666
-100.0,100,158.583506
-100.0,100,159.183567
-100.0,100,159.774084
-100.0,100,160.366507
-100.0,100,160.950689
-100.0,100,161.544903
-100.0,100,162.217714
-100.0,100,162.831961
-100.0,100,163.428192
-100.0,100,164.028436
-100.0,100,164.64592
-100.0,100,165.239429
-100.0,100,165.836181
-100.0,100,166.419348
-100.0,100,168.516153
-100.0,100,169.014035
-100.0,100,169.544343
-100.0,100,170.111904
-100.0,100,170.673607
-100.0,100,171.255119
-100.0,100,171.838511
-100.0,100,172.441017
-100.0,100,173.040692
-100.0,100,173.677091
-100.0,100,174.287088
-100.0,100,174.951001
-100.0,100,175.530966
-100.0,100,176.131087
-100.0,100,176.743975
-100.0,100,177.347809
-100.0,100,177.953192
-100.0,100,178.555986
-100.0,100,179.157671
-100.0,100,179.755063
-100.0,100,180.358361
-91.0,100,180.954998
-100.0,100,181.569872
-100.0,100,182.220065
-100.0,100,182.841494
-100.0,100,183.444026
-100.0,100,184.044782
-100.0,100,184.650322
-100.0,100,185.272907
-95.0,100,185.896764
-100.0,100,186.507781
-100.0,100,187.118427
-100.0,100,187.737725
-100.0,100,188.33964
-100.0,100,188.950713
-100.0,100,189.601542
-100.0,100,190.201278
-100.0,100,190.816298
-100.0,100,191.45638
-97.0,100,192.081433
-100.0,100,192.689172
-100.0,100,194.758496
-100.0,100,195.338178
-100.0,100,195.882746
-100.0,100,196.446969
-100.0,100,197.04337
-100.0,100,197.62454
-100.0,100,198.19716
-100.0,100,198.791235
-95.0,100,199.406024
-100.0,100,200.003596
-100.0,100,200.616041
-100.0,100,201.249193
-100.0,100,201.855744
-100.0,100,202.508723
-100.0,100,203.120123
-100.0,100,203.732826
-100.0,100,204.350855
-100.0,100,204.961591
-97.0,100,205.566339
-100.0,100,206.165435
-100.0,100,206.777602
-100.0,100,207.39309
-100.0,100,207.993861
-100.0,100,208.58322
-100.0,100,209.188216
-100.0,100,209.845342
-100.0,100,210.453009
-100.0,100,211.064459
-100.0,100,211.665592
-100.0,100,212.266958
-100.0,100,212.859231
-100.0,100,213.460348
-100.0,100,214.08726
-100.0,100,214.709899
-100.0,100,215.310807
-100.0,100,215.907028
-100.0,100,216.559064
-100.0,100,217.258493
-100.0,100,217.870018
-100.0,100,218.519066
-100.0,100,219.165797
-100.0,100,221.206857
-100.0,100,221.787808
-100.0,100,222.342261
-100.0,100,222.969106
-100.0,100,223.534932
-100.0,100,224.10148
-100.0,100,224.670268
-100.0,100,225.28145
-100.0,100,225.900892
-100.0,100,226.487301
-100.0,100,227.095825
-100.0,100,227.686091
-100.0,100,228.297493
-100.0,100,228.980642
-100.0,100,229.581168
-100.0,100,230.197851
-100.0,100,230.819977
-100.0,100,231.447742
-100.0,100,232.05414
-100.0,100,232.663767
-100.0,100,233.263765
-100.0,100,233.914989
-100.0,100,234.526571
-100.0,100,235.120819
-100.0,100,235.701329
-100.0,100,236.363678
-100.0,100,236.964174
-100.0,100,237.553621
-100.0,100,238.158206
-100.0,100,238.750593
-100.0,100,239.324111
-100.0,100,239.988896
-100.0,100,240.574842
-100.0,100,241.183032
-100.0,100,241.792732
-100.0,100,242.39806
-97.0,100,243.002129
-100.0,100,243.736789
-100.0,100,244.306408
-100.0,100,244.925217
-100.0,100,245.536537
-100.0,100,247.452341
