#{"t_start": 1787305788.601611, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-99.0,100,257.469081
-100.0,100,258.824922
-100.0,100,260.185633
-100.0,100,261.491246
-100.0,100,262.972052
-100.0,100,264.390669
-100.0,100,266.337365
-100.0,100,268.125796
-100.0,100,269.775036
-100.0,100,271.431915
-100.0,100,273.094945
-100.0,100,274.749011
-100.0,100,276.408153
-100.0,100,277.899133
-100.0,100,279.330155
-100.0,100,284.197199
-100.0,100,285.791408
-100.0,100,287.452898
-100.0,100,289.136465
-100.0,100,290.828066
-100.0,100,292.55169
-100.0,100,294.043911
-100.0,100,295.446059
-100.0,100,297.061153
-100.0,100,298.418466
-100.0,100,299.838669
-100.0,100,301.251553
-100.0,100,302.68865
-100.0,100,304.059223
-100.0,100,305.546767
-100.0,100,306.929682
-100.0,100,308.56726
-100.0,100,310.08773
-100.0,100,311.406781
-100.0,100,312.788778
-100.0,100,314.264844
-100.0,100,315.728702
-100.0,100,317.131291
-100.0,100,318.656831
-100.0,100,320.06482
-100.0,100,321.536418
-100.0,100,323.059484
-100.0,100,324.645392
-100.0,100,326.243234
-100.0,100,327.840244
-100.0,100,329.432119
-100.0,100,331.011808
-100.0,100,332.605925
-100.0,100,333.914768
-100.0,100,335.355301
-100.0,100,336.961735
-100.0,100,338.568475
-100.0,100,340.127326
-100.0,100,341.549153
-100.0,100,343.025508
-100.0,100,344.687719
-100.0,100,346.27688
-100.0,100,347.808794
-100.0,100,349.220337
-100.0,100,350.869459
-97.0,100,352.450719
-100.0,100,354.028829
-100.0,100,355.56768
-100.0,100,357.04155
-100.0,100,358.58639
-96.0,100,360.162457
-100.0,100,361.759986
-99.0,100,363.425792
-100.0,100,364.862299
-100.0,100,366.359509
-100.0,100,367.99238
-100.0,100,369.586972
-100.0,100,371.052222
-100.0,100,372.70184
-100.0,100,374.334952
-100.0,100,375.814498
-100.0,100,377.231869
-100.0,100,378.793917
-100.0,100,380.452793
-100.0,100,382.094313
-100.0,100,383.672832
-97.0,100,385.254298
-100.0,100,386.717432
-100.0,100,388.27274
-100.0,100,389.868812
-100.0,100,391.530885
-100.0,100,393.131051
-100.0,100,394.675714
-100.0,100,396.257593
-100.0,100,397.856459
-100.0,100,399.456946
-100.0,100,400.988362
-100.0,100,402.376375
-100.0,100,403.972736
-100.0,100,405.643123
-64.0,100,407.222005
-100.0,100,408.751014
-100.0,100,410.31388
-100.0,100,411.933102
-100.0,100,413.508867
-100.0,100,415.088654
-100.0,100,416.547956
-100.0,100,418.039645
-100.0,100,419.46712
-100.0,100,420.755774
-100.0,100,422.130837
-100.0,100,423.665029
-100.0,100,425.289114
-100.0,100,426.824824
-100.0,100,428.13708
-100.0,100,429.467032
-100.0,100,430.897294
-100.0,100,432.526567
-100.0,100,433.944437
-57.0,100,435.498089
-100.0,100,436.919664
-100.0,100,438.255779
-100.0,100,439.572968
-100.0,100,441.206445
-100.0,100,442.82663
-27.0,100,444.433745
-100.0,100,445.988271
-100.0,100,447.558083
-100.0,100,449.214052
-100.0,100,450.737856
-100.0,100,452.183361
-100.0,100,453.693637
-100.0,100,455.28717
-100.0,100,456.83776
-98.0,100,458.217607
-100.0,100,459.748317
-79.0,100,461.411964
-100.0,100,462.975996
-100.0,100,464.501793
-100.0,100,465.951626
-91.0,100,467.496744
-100.0,100,469.106246
-97.0,100,470.707297
-100.0,100,472.229886
-100.0,100,473.60835
-46.0,100,475.195916
-100.0,100,476.785414
-100.0,100,478.41976
-100.0,100,479.981381
