#{"t_start": 1787311566.162663, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t
-97.0,100,260.390315
-100.0,100,261.715332
-100.0,100,263.157382
-100.0,100,264.823117
-100.0,100,266.446821
-100.0,100,267.88834
-100.0,100,269.123576
-100.0,100,270.391392
-100.0,100,271.771237
-100.0,100,273.285378
-100.0,100,274.72536
-87.0,100,276.28226
-100.0,100,277.717647
-100.0,100,279.14258
-100.0,100,280.490752
-100.0,100,281.935763
-100.0,100,283.522418
-100.0,100,285.104836
-100.0,100,286.57284
-100.0,100,287.9437
-100.0,100,289.531291
-100.0,100,291.101291
-100.0,100,292.707744
-100.0,100,294.248245
-100.0,100,295.648724
-100.0,100,297.129474
-71.0,100,298.485309
-100.0,100,299.988465
-100.0,100,301.418068
-100.0,100,302.868396
-100.0,100,304.390058
-100.0,100,305.727581
-100.0,100,307.227142
-100.0,100,308.792386
-100.0,100,310.144887
-100.0,100,311.677096
-100.0,100,313.180865
-100.0,100,314.579534
-79.0,100,316.076773
-100.0,100,317.582694
-100.0,100,319.050478
-100.0,100,320.696673
-100.0,100,322.176155
-99.0,100,323.6026
-100.0,100,325.14275
-100.0,100,326.554116
-100.0,100,328.217661
-67.0,100,329.800153
-100.0,100,331.283136
-100.0,100,332.617623
-100.0,100,333.892964
-66.0,100,335.249501
-100.0,100,336.83953
-42.0,100,338.376126
-100.0,100,339.736349
-63.0,100,341.293864
-100.0,100,342.740438
-100.0,100,344.155154
-100.0,100,345.766202
-100.0,100,347.289633
-99.0,100,348.844542
-100.0,100,350.331199
-90.0,100,351.786632
-95.0,100,353.343167
-100.0,100,354.781101
-100.0,100,356.250778
-100.0,100,357.839884
-100.0,100,359.282932
-88.0,100,360.686289
-100.0,100,362.213576
-100.0,100,363.765321
-100.0,100,365.164208
-100.0,100,366.776723
-100.0,100,368.208705
-100.0,100,369.664856
-94.0,100,371.045683
-100.0,100,372.562611
-74.0,100,374.198814
-100.0,100,375.806163
-100.0,100,377.248924
-100.0,100,378.752467
-100.0,100,380.236833
-100.0,100,381.642926
-100.0,100,383.298892
-100.0,100,385.036634
-100.0,100,386.506291
-100.0,100,387.9358
-99.0,100,389.259072
-100.0,100,390.657648
-100.0,100,392.082205
-98.0,100,393.644101
-100.0,100,395.141276
-100.0,100,396.557839
-100.0,100,398.047284
-100.0,100,399.443091
-100.0,100,400.946266
-100.0,100,402.335056
-100.0,100,403.927092
-100.0,100,405.461728
-100.0,100,406.940378
-100.0,100,408.334671
-100.0,100,409.914986
-100.0,100,411.499575
-100.0,100,413.004815
-100.0,100,414.346153
-100.0,100,415.824298
-54.0,100,417.359617
-100.0,100,418.894778
-100.0,100,420.671423
-100.0,100,422.413668
-100.0,100,423.944549
-100.0,100,425.289471
-100.0,100,426.734645
-100.0,100,428.312745
-100.0,100,429.875881
-100.0,100,431.443367
-100.0,100,432.772682
-100.0,100,434.146663
-100.0,100,435.692472
-100.0,100,437.306987
-100.0,100,438.751423
-100.0,100,440.212532
-100.0,100,441.733692
-86.0,100,443.094626
-100.0,100,444.547029
-100.0,100,445.917441
-100.0,100,447.45923
-100.0,100,448.984688
-100.0,100,450.429653
-100.0,100,451.97492
-100.0,100,453.349215
-100.0,100,454.879874
-100.0,100,456.633202
-100.0,100,458.194922
-100.0,100,459.695076
-100.0,100,461.081808
-100.0,100,462.592098
-100.0,100,463.972759
-100.0,100,465.496648
-100.0,100,467.045465
-100.0,100,468.40875
-100.0,100,469.937475
-100.0,100,471.471509
-100.0,100,472.987644
-100.0,100,474.401669
-100.0,100,476.108523
-10.0,100,477.695049
-100.0,100,479.107389
-100.0,100,480.356617
-100.0,100,481.602405
-100.0,100,483.131667
-100.0,100,484.743312
-100.0,100,486.199646
-100.0,100,487.61149
-100.0,100,489.239986
-100.0,100,490.816724
-100.0,100,492.467389
-100.0,100,494.067905
-100.0,100,495.69204
-100.0,100,497.191787
-83.0,100,498.538042
-100.0,100,500.064069
-100.0,100,501.69397
-100.0,100,503.321676
-100.0,100,504.81885
-100.0,100,506.565226
-100.0,100,508.013243
-100.0,100,509.483072
-100.0,100,510.971667
-100.0,100,512.482771
-36.0,100,514.119386
-100.0,100,515.690434
-100.0,100,517.167189
-100.0,100,518.790306
-100.0,100,520.428237
-100.0,100,522.0362
-100.0,100,523.457241
-100.0,100,524.963348
-100.0,100,526.546838
-100.0,100,528.020228
-100.0,100,529.392209
-100.0,100,531.037154
-100.0,100,532.761758
-100.0,100,534.306044
-100.0,100,535.565721
-100.0,100,536.986198
-100.0,100,538.380456
-100.0,100,539.876752
-100.0,100,541.479841
-100.0,100,543.038252
-100.0,100,544.456684
-100.0,100,545.867044
-100.0,100,547.250089
-100.0,100,548.793539
-48.0,100,550.378421
-100.0,100,551.947262
-100.0,100,553.410095
-100.0,100,554.775594
-100.0,100,556.343804
-100.0,100,557.869874
-100.0,100,559.306918
-100.0,100,560.874747
-99.0,100,562.437826
-100.0,100,563.836157
-100.0,100,565.265093
-100.0,100,566.682773
-100.0,100,568.268939
-100.0,100,569.827599
-100.0,100,571.541033
-100.0,100,573.22069
-3.0,100,574.711664
-100.0,100,576.16252
-100.0,100,577.785746
-100.0,100,579.36096
-100.0,100,580.916011
-100.0,100,582.31217
-100.0,100,583.571347
-74.0,100,585.29505
-100.0,100,586.916023
-100.0,100,588.533271
-100.0,100,590.232023
-100.0,100,591.539648
-100.0,100,592.809932
-62.0,100,594.161501
-100.0,100,595.719641
-100.0,100,597.351483
-100.0,100,598.932028
-100.0,100,600.375504
-63.0,100,601.863609
-100.0,100,603.500299
-100.0,100,605.267553
-100.0,100,606.894601
-100.0,100,608.462662
-100.0,100,610.004555
-100.0,100,611.461278
-100.0,100,613.00115
-100.0,100,614.607899
-100.0,100,616.221965
-100.0,100,619.203635
-100.0,100,620.694367
-100.0,100,622.080419
-11.0,100,623.616904
-100.0,100,625.23259
-100.0,100,626.748755
-100.0,100,628.114677
-100.0,100,629.620907
-77.0,100,631.066884
-100.0,100,632.524219
-100.0,100,633.931099
-100.0,100,635.449584
-100.0,100,636.896454
-100.0,100,638.298478
-100.0,100,639.545827
-100.0,100,640.925896
-100.0,100,642.5097
-100.0,100,644.190256
-100.0,100,645.693456
-100.0,100,647.05939
-100.0,100,648.420047
-100.0,100,649.794291
-100.0,100,651.417391
-100.0,100,653.043392
-100.0,100,654.654405
-100.0,100,656.103559
-100.0,100,657.324965
-20.0,100,658.615161
-100.0,100,660.145013
-100.0,100,661.724101
-100.0,100,663.261682
-100.0,100,664.564388
-100.0,100,666.054526
-4.0,100,667.437116
-100.0,100,668.916813
-100.0,100,670.369827
-100.0,100,671.789174
-100.0,100,673.331769
-100.0,100,674.689852
-100.0,100,676.151678
-6.0,100,677.645904
-100.0,100,679.114907
-100.0,100,680.736256
-100.0,100,682.376091
-100.0,100,683.811571
-100.0,100,685.333663
-100.0,100,686.797994
-100.0,100,688.261683
-100.0,100,689.887
-100.0,100,691.556261
-100.0,100,692.898556
-100.0,100,694.180254
-100.0,100,695.563096
-100.0,100,697.138232
-100.0,100,698.735486
-100.0,100,700.242265
-48.0,100,701.633479
-100.0,100,703.180402
-100.0,100,704.635736
-100.0,100,706.059799
-100.0,100,707.672586
-100.0,100,709.245373
-38.0,100,710.667361
-100.0,100,711.918849
-100.0,100,713.443667
-100.0,100,714.83803
-100.0,100,716.418157
-100.0,100,717.998531
-100.0,100,719.529291
-100.0,100,720.935738
-100.0,100,722.402661
-100.0,100,723.840755
-100.0,100,725.413253
-100.0,100,726.985277
-54.0,100,728.504993
-93.0,100,729.903801
-100.0,100,731.437704
-100.0,100,732.989884
-100.0,100,734.582708
-100.0,100,736.001102
-100.0,100,737.479897
-100.0,100,738.920186
-90.0,100,740.370595
-100.0,100,741.944893
-2.0,100,743.374002
-100.0,100,744.863694
-100.0,100,746.283993
-100.0,100,747.716333
-100.0,100,749.158409
-100.0,100,750.605855
-100.0,100,752.217926
-100.0,100,753.891586
-99.0,100,755.440453
-100.0,100,756.921458
-100.0,100,758.30977
-100.0,100,759.674704
-100.0,100,761.21807
-100.0,100,762.796032
-100.0,100,764.281101
-100.0,100,765.937512
-100.0,100,767.496554
-100.0,100,769.049209
-100.0,100,770.558119
-21.0,100,771.944407
-100.0,100,773.854823
-23.0,100,775.387911
-100.0,100,776.89671
-100.0,100,778.322782
-100.0,100,779.913454
-100.0,100,781.46112
-100.0,100,783.038902
-100.0,100,784.448284
-100.0,100,785.903639
-100.0,100,787.401106
-100.0,100,788.792395
-100.0,100,790.494767
-51.0,100,792.068766
-100.0,100,793.476469
-100.0,100,794.974546
-100.0,100,796.427129
-22.0,100,797.913461
-100.0,100,799.705083
-100.0,100,801.223215
-37.0,100,802.447878
-100.0,100,803.728039
-100.0,100,804.961374
-25.0,100,806.339546
-100.0,100,807.903761
-100.0,100,809.503971
-100.0,100,810.998573
-100.0,100,812.396754
-100.0,100,813.697927
-100.0,100,815.014562
-100.0,100,816.587828
-90.0,100,817.980599
-100.0,100,819.467319
-20.0,100,820.721432
-100.0,100,821.96807
-100.0,100,823.194907
-100.0,100,824.905443
-100.0,100,826.485374
-100.0,100,827.858616
-100.0,100,829.385775
-100.0,100,830.826942
-100.0,100,832.315392
-72.0,100,833.894062
-100.0,100,835.452864
-100.0,100,837.016868
-94.0,100,838.575917
-100.0,100,839.924485
-100.0,100,841.428461
-26.0,100,843.007082
-100.0,100,844.804868
-22.0,100,846.365256
-100.0,100,847.79256
-65.0,100,849.275117
-100.0,100,850.734565
-81.0,100,852.176596
-100.0,100,853.746927
-4.0,100,855.361481
-23.0,100,857.157795
-100.0,100,858.567156
-100.0,100,859.98361
-100.0,100,861.580211
-100.0,100,863.054836
-100.0,100,864.541075
-100.0,100,866.069232
-100.0,100,867.567135
-100.0,100,868.999967
-100.0,100,870.443568
-100.0,100,871.878632
-100.0,100,873.463475
-100.0,100,875.039727
-2.0,100,876.436809
-100.0,100,877.875196
-100.0,100,879.415154
-100.0,100,881.014112
-100.0,100,882.526559
-100.0,100,883.914525
-100.0,100,885.372288
-100.0,100,886.747658
-100.0,100,888.266325
-100.0,100,889.719824
-100.0,100,891.198388
-100.0,100,892.762483
-100.0,100,894.203241
-100.0,100,895.597333
-100.0,100,897.132232
-100.0,100,898.552669
-100.0,100,900.046718
-100.0,100,901.745212
-100.0,100,903.246482
-100.0,100,904.627417
-99.0,100,906.154862
-100.0,100,907.610935
-100.0,100,909.017297
-100.0,100,910.600996
-100.0,100,912.004897
-100.0,100,913.323419
-100.0,100,914.833709
-97.0,100,916.238572
-100.0,100,917.826183
-100.0,100,919.279172
-100.0,100,920.877096
-34.0,100,922.456023
-100.0,100,923.913761
-100.0,100,925.381472
-100.0,100,927.154716
-100.0,100,928.75405
-100.0,100,930.246031
-3.0,100,931.527142
-100.0,100,933.193201
-100.0,100,934.605626
-100.0,100,936.074005
-100.0,100,937.66941
-62.0,100,939.221217
-100.0,100,940.620274
-100.0,100,942.146547
-64.0,100,943.622667
-100.0,100,944.991861
-100.0,100,946.58435
-100.0,100,948.170519
-100.0,100,949.55614
-100.0,100,951.036851
-100.0,100,952.469858
-100.0,100,953.987775
-75.0,100,955.61309
-100.0,100,957.19503
-100.0,100,958.655006
